uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment
23,Captain Marvel,2,0,https://www.youtube.com/watch?v=Z1BCujX3pw8,Marvel Studios' Captain Marvel - Official Trailer,Marvel Entertainment,1,,-171,9/18/2018,62015963,1133118,141995,0,0,1,1,1
23,Captain Marvel,2,1,https://www.youtube.com/watch?v=0LHxvxdRnYc,Marvel Studios' Captain Marvel - Trailer 2,Marvel Entertainment,1,,-95,12/3/2018,52047803,885436,95924,1,1,0,0,0
24,The Hunger Games,1,0,https://www.youtube.com/watch?v=mfmrPu43DF8,The Hunger Games (2012 Movie) - Official Theatrical Trailer - Jennifer Lawrence & Liam Hemsworth,Lionsgate Movies,1,,-130,11/14/2011,9729633,45628,6380,1,1,1,1,1
25,Spider-Man 3,1,0,https://www.youtube.com/watch?v=67ERtC_OKLQ,Spider-Man 3 - new trailer,Spiderman3Movie,1,,-30,4/4/2007,629733,1434,15,1,1,1,1,1
26,Jurassic World: Fallen Kingdom,3,0,https://www.youtube.com/watch?v=vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],Universal Pictures,1,,-197,12/7/2017,68490963,667590,66100,0,0,1,1,1
26,Jurassic World: Fallen Kingdom,3,1,https://www.youtube.com/watch?v=NooW_RbfdWI,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],Universal Pictures,1,,-138,2/4/2018,28850757,291222,20121,0,0,0,0,0
26,Jurassic World: Fallen Kingdom,3,2,https://www.youtube.com/watch?v=1FJD7jZqZEk,Jurassic World: Fallen Kingdom - Final Trailer [HD],Universal Pictures,1,,-65,4/18/2018,29157413,250394,20779,1,1,0,0,0
27,Furious 7,2,0,https://www.youtube.com/watch?v=Skpu5HaVkOc,Furious 7 - Official Trailer (HD),The Fast Saga,1,,-153,11/1/2014,74352399,372074,21257,0,0,1,1,1
27,Furious 7,2,1,https://www.youtube.com/watch?v=yISKeT6sDOg,Furious 7 - Official Theatrical Trailer (HD),The Fast Saga,1,,-58,2/4/2015,20605766,99454,4513,1,1,0,0,0
28,Guardians of the Galaxy Vol. 2,2,0,https://www.youtube.com/watch?v=dW1BIid8Osg,Guardians of the Galaxy Vol. 2 Teaser Trailer,Marvel Entertainment,,1,-153,12/3/2016,22307840,255304,16604,0,0,1,1,1
28,Guardians of the Galaxy Vol. 2,2,1,https://www.youtube.com/watch?v=wUn05hdkhjM,Guardians of the Galaxy Vol. 2 - Trailer 3 (Official),Marvel Entertainment,1,,-65,3/1/2017,4726665,43154,1691,1,1,0,0,0
29,Jurassic World: Dominion,2,0,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures,1,,-120,2/10/2022,60768180,970552,53082,0,0,1,1,1
