uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
49,Spider-Man: Homecoming,https://www.youtube.com/watch?v=39udgGPyYMg,Spider-Man: Homecoming - Official Trailer 2 [HD],Marvel Entertainment,1.0,5,,,-101,0,0
,,,,,,,,,,,
50,Man of Steel,https://www.youtube.com/watch?v=T6DJcgm3wNY,Man of Steel - Official Trailer 3 [HD],Warner Bros. Pictures,1.0,1,1,,-59,0,0
50,Man of Steel,https://www.youtube.com/watch?v=KVu3gS7iJu4,Man of Steel - Official Trailer #2 [HD],Warner Bros. Pictures,1.0,2,1,,-185,0,0
50,Man of Steel,https://www.youtube.com/watch?v=NlOF03DUoWc,Man of Steel - "Fate of Your Planet" Official Trailer [HD],Warner Bros. Pictures,1.0,3,1,,-24,0,0
50,Man of Steel,https://www.youtube.com/watch?v=-cYR5MFb8Rc,Man of Steel - Official Teaser Trailer: Jonathan Kent [HD],Warner Bros. Pictures,1.0,4,,1,-325,0,0
50,Man of Steel,https://www.youtube.com/watch?v=jgrvm6OI_9Q,Man of Steel - Official Teaser Trailer: Jor-El [HD],Warner Bros. Pictures,1.0,5,,1,-325,0,0
,,,,,,,,,,,
51,Alice in Wonderland,https://www.youtube.com/watch?v=pMiCJefpn9Q,Alice in Wonderland: Official Trailer #2,Walt Disney Studios,1.0,1,1,,-79,0,0
51,Alice in Wonderland,https://www.youtube.com/watch?v=LjMkNrX60mA,Alice in Wonderland Teaser 1,Walt Disney Studios,0.6,2,,1,-225,0,0
,,,,,,,,,,,
52,Minions,https://www.youtube.com/watch?v=jc86EFjLFV4,Minions | Official Trailer 2 (HD) | Illumination,Illumination,1.0,1,1,,-157,0,0
52,Minions,https://www.youtube.com/watch?v=Wfql_DoHRKc,Minions | Official Trailer 3 (HD) | Illumination,Illumination,1.0,2,1,,-57,0,0
52,Minions,https://www.youtube.com/watch?v=P9-FCC6I7u0,Minions | Official Trailer (HD) | Illumination,Illumination,1.0,3,1,,-249,0,0
,,,,,,,,,,,
61,The Jungle Book,https://www.youtube.com/watch?v=C4qgAaxB_pc,The Jungle Book Official Big Game Trailer,Walt Disney Studios,1.0,1,1,,-68,0,0
61,The Jungle Book,https://www.youtube.com/watch?v=HcgJRQWxKnw,The Jungle Book Official US Teaser Trailer,Walt Disney Studios,1.0,2,,1,-213,0,0
,,,,,,,,,,,
62,Wonder Woman,https://www.youtube.com/watch?v=1Q8fG0TtVAY,WONDER WOMAN - Official Trailer [HD],Warner Bros. Pictures,1.0,1,1,,-211,0,0
62,Wonder Woman,https://www.youtube.com/watch?v=VSB4wGIdDwo,WONDER WOMAN – Rise of the Warrior [Official Final Trailer],Warner Bros. Pictures,1.0,2,1,,-26,0,0
62,Wonder Woman,https://www.youtube.com/watch?v=5lGoQhFb4NM,WONDER WOMAN Comic-Con Trailer,Warner Bros. Pictures,0.75,3,,,-314,0,0
62,Wonder Woman,https://www.youtube.com/watch?v=INLzqh7rZ-U,WONDER WOMAN - Official Origin Trailer,Warner Bros. Pictures,1.0,4,1,,-83,0,0
,,,,,,,,,,,
65,The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=n-7K_OjsDCQ,The Hunger Games: Mockingjay Part 2 Official Trailer – “We March Together”,The Hunger Games,1.0,1,1,,-120,0,0
